search term,scope
influenza,very broad
long covid,broad
malaria therapeutics,very specific
asthma,very broad
naegleria fowleri infection,very specific
zika microcephaly,somewhat specific
allergen skin prick test,somewhat specific
allergy treatment,broad
sublingual immunotherapy,very specific
AIDS,very broad
immunotherapeutics,somewhat specific
t-cell function,broad
addison's disease,very specific
cancer,very broad
myocardial infarction,broad
dendritic cells,very broad
mast cells,broad
rational cancer drug design,somewhat specific
metabolomics,very broad
pinealocyte,very specific
plasmacytoid dendritic cells,somewhat specific
gwas,broad
mycobacterium,very broad
tuberculin skin test,somewhat specific
hiv,very broad